#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable
Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2020-04-09;Hong-Kong;973;4;293;0.41;30.11;69.48
2020-04-09;Honduras;343;23;6;6.71;1.75;91.55
2020-04-09;Croatie;1407;20;219;1.42;15.57;83.01
2020-04-09;Haïti;30;2;0;6.67;0.00;93.33
2020-04-09;Hongrie;980;66;96;6.73;9.80;83.47
2020-04-09;Indonésie;3293;280;252;8.50;7.65;83.84
2020-04-09;Irlande;6574;263;25;4.00;0.38;95.62
2020-04-09;Israël;9968;86;1011;0.86;10.14;88.99
2020-04-09;Inde;6725;226;620;3.36;9.22;87.42
2020-04-09;Iraq;1232;69;496;5.60;40.26;54.14
2020-04-09;Iran;66220;4110;32309;6.21;48.79;45.00
2020-04-09;Islande;1648;6;688;0.36;41.75;57.89
2020-04-09;Italie;143626;18279;28470;12.73;19.82;67.45
2020-04-09;Jamaïque;63;4;12;6.35;19.05;74.60
2020-04-09;Jordanie;372;7;161;1.88;43.28;54.84
2020-04-09;Japon;4667;94;632;2.01;13.54;84.44
2020-04-09;Kenya;184;7;12;3.80;6.52;89.67
2020-04-09;Kirghizistan;280;4;35;1.43;12.50;86.07
2020-04-09;Cambodge;119;0;62;0.00;52.10;47.90
2020-04-09;Saint-Kitts-et-Nevis;11;0;0;0.00;0.00;100.00
2020-04-09;Corée du Sud;10423;204;6973;1.96;66.90;31.14
2020-04-09;Koweït;910;1;111;0.11;12.20;87.69
2020-04-09;Kazakhstan;781;8;60;1.02;7.68;91.29
2020-04-09;Laos;16;0;0;0.00;0.00;100.00
2020-04-09;Liban;582;19;67;3.26;11.51;85.22
2020-04-09;Sainte-Lucie;14;0;1;0.00;7.14;92.86
2020-04-09;Liechtenstein;78;1;55;1.28;70.51;28.21
2020-04-09;Sri Lanka;190;7;49;3.68;25.79;70.53
2020-04-09;Libéria;31;4;3;12.90;9.68;77.42
2020-04-09;Lituanie;955;16;8;1.68;0.84;97.49
2020-04-09;Luxembourg;3115;52;500;1.67;16.05;82.28
2020-04-09;Lettonie;589;3;16;0.51;2.72;96.77
2020-04-09;Libye;24;1;8;4.17;33.33;62.50
2020-04-09;Maroc;1374;97;109;7.06;7.93;85.01
2020-04-09;Monaco;84;1;5;1.19;5.95;92.86
2020-04-09;Moldavie;1289;29;50;2.25;3.88;93.87
2020-04-09;Montenegro;252;2;4;0.79;1.59;97.62
2020-04-09;Saint Martin;32;2;7;6.25;21.88;71.88
2020-04-09;Madagascar;93;0;11;0.00;11.83;88.17
2020-04-09;Macédoine;663;30;37;4.52;5.58;89.89
2020-04-09;Mali;74;7;22;9.46;29.73;60.81
2020-04-09;Birmanie;23;3;2;13.04;8.70;78.26
2020-04-09;Mongolie;16;0;4;0.00;25.00;75.00
2020-04-09;Macao;45;0;10;0.00;22.22;77.78
2020-04-09;Martinique;154;6;50;3.90;32.47;63.64
2020-04-09;Mauritanie;7;1;2;14.29;28.57;57.14
2020-04-09;Malte;337;2;16;0.59;4.75;94.66
2020-04-09;Maurice;314;7;23;2.23;7.32;90.45
2020-04-09;Maldives;19;0;13;0.00;68.42;31.58
2020-04-09;Malawi;8;1;0;12.50;0.00;87.50
2020-04-09;Mexique;3181;174;633;5.47;19.90;74.63
2020-04-09;Malaisie;4228;67;1608;1.58;38.03;60.38
2020-04-09;Mozambique;17;0;1;0.00;5.88;94.12
2020-04-09;Namibie;16;0;3;0.00;18.75;81.25
